metrica,eBPF,eBPF_std,sysstat,sysstat_std,Prometheus,Prometheus_std
Latência média (ms),0.7691,0.0367,0.8374,0.0157,0.9531,0.0689
Desvio padrão (ms),0.5447,0.1402,0.513,0.0926,0.5694,0.1726
Latência máx (ms),5.2284,1.5842,4.7667,1.1806,4.6328,1.3988
Latência mín (ms),0.2804,0.0563,0.2757,0.0395,0.3025,0.0842
Amostras coletadas,157.0,0.0,157.0,0.0,157.0,0.0
CPU média WAF (%),51.758,0.4713,50.728,0.3784,67.384,8.3243
Memória média WAF (MB),11.722,0.0356,11.664,0.0757,11.816,0.0462
CPU média coletor (%),0.056,0.0055,2.53,5.5231,2.906,6.3191
Memória média coletor (MB),196.182,0.3251,13.504,0.0619,24.502,0.1246
