metrica,eBPF,eBPF_std,eBPF_ci95,sysstat,sysstat_std,sysstat_ci95,Prometheus,Prometheus_std,Prometheus_ci95
Tempo de resposta médio (ms),0.4885,0.0105,0.0039,0.5725,0.0141,0.0053,0.5682,0.007,0.0026
Desvio padrão (ms),0.0547,0.0224,0.0084,0.076,0.05,0.0187,0.0569,0.0056,0.0021
Tempo de resposta máx (ms),0.6789,0.2485,0.0928,0.9165,0.5372,0.2006,0.745,0.0403,0.015
Tempo de resposta mín (ms),0.3409,0.0401,0.015,0.4,0.0353,0.0132,0.4209,0.0406,0.0152
CPU média WAF (%),107.9853,0.1361,0.0508,108.0933,0.2363,0.0882,108.219,0.1045,0.039
Memória média WAF (MB),44.602,0.6694,0.2499,42.7497,0.7498,0.2799,43.3477,0.4879,0.1822
CPU média observador (%),0.8193,4.227,1.5782,1.4233,5.2082,1.9446,0.742,3.7449,1.3982
Memória média observador (MB),15.1383,0.0452,0.0169,13.5513,0.0757,0.0283,24.1637,0.1546,0.0577
