metrica,eBPF,eBPF_std,eBPF_ci95,sysstat,sysstat_std,sysstat_ci95,Prometheus,Prometheus_std,Prometheus_ci95
Latência média (ms),0.5407,0.0324,0.0121,0.6012,0.0129,0.0048,0.6205,0.0122,0.0046
Desvio padrão (ms),0.0808,0.0171,0.0064,0.0797,0.0129,0.0048,0.0878,0.0173,0.0065
Latência máx (ms),0.7473,0.0884,0.033,0.7797,0.0852,0.0318,0.8451,0.0959,0.0358
Latência mín (ms),0.3632,0.0526,0.0196,0.401,0.0263,0.0098,0.4164,0.041,0.0153
CPU média WAF (%),52.385,19.5074,7.2834,57.2297,0.5358,0.2,57.044,0.4239,0.1583
Memória média WAF (MB),28.9547,0.2222,0.083,28.106,0.1198,0.0447,28.1223,0.1222,0.0456
CPU média observador (%),0.0507,0.0277,0.0103,4.6627,17.5232,6.5425,2.373,12.6424,4.7202
Memória média observador (MB),15.2263,0.0525,0.0196,13.9323,0.0403,0.015,24.8223,0.1059,0.0395
