metrica,ebpf,sysstat,prometheus
monitor_latency_avg_ms,0,0.3707,0.4054
monitor_latency_stddev_ms,0,0.1361,0.1082
monitor_latency_max_ms,0,2.1846,1.1673
monitor_latency_min_ms,0,0.2633,0.2732
monitor_samples,0,261,259
connections,201,201,201
bytes_rx,419430400,419430400,419430400
bytes_tx,2611,2611,2611
cpu_avg_pct,9.54,0.0,0.0
mem_avg_mb,14.27,15.7,13.95
waf_blocked,200,200,200
waf_allowed,1,1,1
duration_s,240.54,240.15,240.71
