metrica,ebpf,ebpf_std,sysstat,sysstat_std,prometheus,prometheus_std
monitor_latency_avg_ms,0.4347,0,0.451,0,0.3779,0
monitor_latency_stddev_ms,0.029,0,0.0603,0,0.0923,0
monitor_latency_max_ms,0.4772,0,0.6338,0,0.6418,0
monitor_latency_min_ms,0.2854,0,0.2464,0,0.2261,0
monitor_samples,100.0,0,100.0,0,100.0,0
cpu_avg_pct,0.05,0,0.04,0,0.05,0
mem_avg_mb,11.29,0,11.37,0,11.47,0
