metrica,eBPF,eBPF_std,eBPF_ci95,sysstat,sysstat_std,sysstat_ci95,Prometheus,Prometheus_std,Prometheus_ci95
Tempo de resposta médio (ms),0.5283,0.0187,0.007,0.5746,0.0098,0.0037,0.5932,0.0113,0.0042
Desvio padrão (ms),0.085,0.0404,0.0151,0.0626,0.0162,0.006,0.0621,0.0058,0.0022
Tempo de resposta máx (ms),1.0622,0.6035,0.2253,0.8459,0.262,0.0978,0.8168,0.0805,0.0301
Tempo de resposta mín (ms),0.3641,0.0412,0.0154,0.4184,0.0441,0.0165,0.427,0.041,0.0153
CPU média WAF (%),107.9583,3.0925,1.1546,108.8477,0.1819,0.0679,108.6713,0.2082,0.0777
Memória média WAF (MB),49.891,1.7222,0.643,53.869,0.9987,0.3729,53.4847,1.1971,0.447
CPU média observador (%),0.4713,2.321,0.8666,0.4613,2.2379,0.8356,0.8013,2.8199,1.0528
Memória média observador (MB),15.066,0.0601,0.0224,13.6597,0.0676,0.0252,24.1967,0.1374,0.0513
